Wstern blot	Western blot
Wetsern blot	Western blot
Westren blot	Western blot
Westren Blot	Western blot
westernblotting	Western blot
Western blotting	Western blot
Western Blotting	Western blot
Western blot 	Western blot
Western blot	Western blot
western blot	Western blot
Western Blot	Western blot
WEstern blot	Western blot
Western blog	Western blot
Western blo	Western blot
Western	Western blot
Weastern blot	Western blot
/Western blot	Western blot
Southern Blotting	Southern blot
Southern blot	Southern blot
Northern blotting	Northern blot
Northern blot	Northern blot
Nortern blot	Northern blot
NGS	Next Generation Sequencing (NGS)
Next Generation Sequencing (NGS)	Next Generation Sequencing (NGS)
Motility assay	Motility assay
Microarray	Microarray
microarray	Microarray
Micorarray	Microarray
Mass spectrometry	Mass spectrometry
luciferasereporterassay	Luciferase reporter assay
luciferase reporter assays	Luciferase reporter assay
Luciferase reporter assay	Luciferase reporter assay
luciferase reporter assay	Luciferase reporter assay
Luciferase reporter assa	Luciferase reporter assay
Luciferase assay	Luciferase reporter assay
LacZ reporter assay	LacZ reporter assay
LacZ assay	LacZ reporter assay
intrarenal expression	intrarenal expression
In situ hybridization	In situ hybridization
in situ hybridization	In situ hybridization
Immunoprecipitation	Immunoprecipitaion (IP)
Immunoprecipitaion (IP)	Immunoprecipitaion (IP)
Immunoprecipitaion	Immunoprecipitaion (IP)
immunoprecipitaion	Immunoprecipitaion (IP)
Immuno-precipitation	Immunoprecipitaion (IP)
Immuohistochemistry	Immunohistochemistry (IHC)
Immunohistochemistry analysis	Immunohistochemistry (IHC)
Immunohistochemistry (IHC)	Immunohistochemistry (IHC)
Immunohistochemistry	Immunohistochemistry (IHC)
immunohistochemistry	Immunohistochemistry (IHC)
Immunohistochemical analysis	Immunohistochemistry (IHC)
Immunohistochemical (IHC) staining	Immunohistochemistry (IHC)
Immunofluorescent Assay	Immunoflourescence
Immunofluorescence staining	Immunoflourescence
Immunofluorescence microscopy	Immunoflourescence
immunofluorescence assays	Immunoflourescence
Immunofluorescence analysis	Immunoflourescence
Immunofluorescence	Immunoflourescence
immunofluorescence	Immunoflourescence
Immunoflourescence	Immunoflourescence
Immunocytochemistry (ICC)	Immunocytochemistry (ICC)
Immunocytochemistry	Immunocytochemistry (ICC)
immunocytochemistry	Immunocytochemistry (ICC)
Immunoblotting	Immunoblot
immunoblot analysis	Immunoblot
Immunoblot	Immunoblot
immunoblot	Immunoblot
HITS-CLIP聽	HITS-CLIP
HITS-CLIP	HITS-CLIP
GUS reporter assay	GUS reporter assay
Gluc reporter assay	Gluc reporter assay
Gluc assay	Gluc reporter assay
GFP reporter assay	GFP reporter assay
GFP Reporter Assay	GFP reporter assay
GFP reporter	GFP reporter assay
Genotyping	Genotyping
DNA methylation analysis	DNA methylation analysis
Degradome sequencing	Degradome sequencing
Degradome	Degradome sequencing
Colony formation assay	Colony formation assay
colony formation	Colony formation assay
/Chromatin Immunoprecipitation (ChIP) Assays	ChIP-seq
5RACE	5'RACE
5\'RACE	5'RACE
5"RACE	5'RACE
5""RACE	5'RACE
5'RACE	5'RACE
2DGE	2DGE
2-D Gel Electrophoresis (2DGE)	2DGE
www.targetscan.org/) and one in the la	** ERROR TO MANUALLY EDIT
Western blot, luciferase assay	** ERROR TO MANUALLY EDIT
TOP铿俛sh/FOP铿俛sh reporter assay	** ERROR TO MANUALLY EDIT
TOP茂卢鈥歛sh/FOP茂卢鈥歛sh reporter assay	** ERROR TO MANUALLY EDIT
To test if miR-141 directly targets the PR transcript, we analyzed four predicted miR-141-binding sites (Figure 4c)	** ERROR TO MANUALLY EDIT
TaqMan miRNA assay/RT-PCR	** ERROR TO MANUALLY EDIT
QRTPCRWestern blot	** ERROR TO MANUALLY EDIT
qRT=PCR	** ERROR TO MANUALLY EDIT
qRT-PCR/Luciferase reporter assay	** ERROR TO MANUALLY EDIT
qRT-PCR and Western blot	** ERROR TO MANUALLY EDIT
nan	** ERROR TO MANUALLY EDIT
Microarray/In situ hybridization	** ERROR TO MANUALLY EDIT
Luciferase reporter assayMTT	** ERROR TO MANUALLY EDIT
Luciferase reporter assay/Western blot	** ERROR TO MANUALLY EDIT
Luciferase reporter assay/QRTPCR	** ERROR TO MANUALLY EDIT
Luciferase reporter assay/qRT-PCR	** ERROR TO MANUALLY EDIT
Luciferase reporter assay/Microarray	** ERROR TO MANUALLY EDIT
Luciferase reporter assay and western blot	** ERROR TO MANUALLY EDIT
Luciferase assay/RT-PCR	** ERROR TO MANUALLY EDIT
Immunoprecipitaion銊uciferase reporter assay	** ERROR TO MANUALLY EDIT
ELISALuciferase reporter assay	** ERROR TO MANUALLY EDIT
three within the 3鈥?untranslated region (UTR) as identified through Targetscan (http:	** ERROR TO MANUALLY EDIT
three within the 3芒鈧?untranslated region (UTR) as identified through Targetscan (http:	** ERROR TO MANUALLY EDIT
rna-seq	* RNA-seq
RNA-seq	* RNA-seq
RNA-binding protein immunoprecipitation	* RNA immunoprecipitation assay (RIP)
RNA immunoprecipitation assay (RIP)	* RNA immunoprecipitation assay (RIP)
RNA immunopercipitation	* RNA immunoprecipitation assay (RIP)
semi-qRT-PCR	* Real Time PCR (qPCR)
RTPCR	* Real Time PCR (qPCR)
RT-PCR	* Real Time PCR (qPCR)
real-timeRT-PCR	* Real Time PCR (qPCR)
real-time RT-PCR	* Real Time PCR (qPCR)
Real time RT-PCR	* Real Time PCR (qPCR)
real time qRT-PCR	* Real Time PCR (qPCR)
Real time qRT-PCR	* Real Time PCR (qPCR)
Real time PCR	* Real Time PCR (qPCR)
quantitative PCR	* Real Time PCR (qPCR)
QRTPCR	* Real Time PCR (qPCR)
qRT-PCR	* Real Time PCR (qPCR)
qrt-pcr	* Real Time PCR (qPCR)
qRT_PCR	* Real Time PCR (qPCR)
qPCR	* Real Time PCR (qPCR)
q-PCR	* Real Time PCR (qPCR)
Quantitative proteomic approach	* Real Time ...???
Fluorescence reporter assay	* Fluorescence reporter assay
Flow cytometry	* Flow cytometry
Flow	* Flow cytometry
flow	* Flow cytometry
FISH	* FISH
FACS	* FACS
Communoprecipitaion	* Coimmunoprecipitation
Coimmunoprecipitation	* Coimmunoprecipitation
Co-immunoprecipitation	* Coimmunoprecipitation
CLIP-Seq dataset analysis	* CLIP-seq
CLIP-seq	* CLIP-seq
Chromatin Immunoprecipitation (ChIP) Assays	* ChIP-seq
Chromatin immunoprecipitation	* ChIP-seq
Chromatin Immunoprecipitation	* ChIP-seq
ChIP-seq	* ChIP-seq
chip-seq	* ChIP-seq
ChIP-PCR	* ChIP-seq
ChIP immunoprecipitation	* ChIP-seq
ChIP assay	* ChIP-seq
ChIP	* ChIP-seq
Chip	* ChIP-seq
CHIP	* ChIP-seq
Cell proliferation assays	* Cell proliferation assay
Cell proliferation assay	* Cell proliferation assay
Cell proliferation	* Cell proliferation assay
Ago2-IP/IgG-IP	* AGO2
AGO2 Immunoprecipitation	* AGO2
AGO2 binding RNA immunoprecipitation qRT-PCR	* AGO2
3RACE	* 3'RACE
3'LIFE	* 3'RACE
3'-Seq	* 3'RACE
Zymography	*
YFP reporter assay	*
YFP fluorescent-labelled reporter assay	*
YFP expression	*
wound healing assays	*
Unknown	*
TRAP	*
transwell insert	*
Translational profiling	*
TOP/FOP luciferase assay	*
TargetScan	*
TaqMan miRNA assay	*
sphere assay	*
Soft agar assay	*
silico analysis	*
SILAC (Stable Isotope Labeling of Amino acids in Culture)	*
Sequencing	*
safranin o staining/GAGs contents assay	*
RNAi	*
RISC-seq	*
RISC-IP	*
RISC analysis	*
Ribonuclease protection assay	*
Reverse-phase protein array	*
Reporter assay	*
pSILAC	*
proteomics analysis	*
Proteomics	*
Protein Immunoblot Analyses	*
protein array	*
pMIR-REPORT	*
phenotypic sensor assay	*
PCR array	*
PAR-CLIP	*
Other	*
MTT assay	*
MTT	*
mtt	*
mRNA decay	*
mRAP	*
miRNA-masking antisense ODN (miR-Mask) assay	*
miR PCR array system	*
mice xenograft	*
LC-MS/MS	*
in vivo gain/loss-of-function experiments	*
in vitro cullelar assays	*
immunostaining	*
Immunostaining	*
immunosorbent	*
IlluminaExpressionArrays	*
enzyme-linked immunosorbent assay	*
EMSA	*
ELISA	*
EGFR reporter assay	*
EGFP reporter assay	*
dual-luciferase reporter assay	*
Cleaved amplified polymorphic sequences	*
CLASH	*
Chromogenic in situ hybridization	*
cell cycle assays	*
CC tissues and cells (C33A, HeLa, CaSki, SiHa, and ME-180)	*
Caspase-Glo脗庐 3/7 assay	*
Caspase-Glo庐 3/7 assay	*
CAM assay	*
Branched DNA probe assay	*
B-globin reporter assay	*
ASO assay	*
apoptosis	*
anoikis assay	*
Annexin V-FITC	*
Alizarin red S staining	*